number,group_number,group_name,description,dimensions,price
1958-4,1958-1,Bevelle Collection ,Night Stand,27 x 17.75 x 27.25H,156.0
710-24,710-36RD,Daisy Collection,"Counter Height Chair, Dark Brown",20.5 x 24.5 x 40H,62.0
2867K-1CK,2867-1,Tayton Collection , California King Platform Metal Bed ,HB: 50H FB: 25.5H,253.0
1908-11,1908-1,Summerlin Collection ,TV Chest,37.25 x 16.5 x 38.75H,162.0
1896N-1*,1896N-1,Chasin Collection ,Queen Platform Bed,HB: 44.25H FB: 11.25H,136.0
1737KNGY-1CK,1737NGY-1,Lyric Collection ,California King Sleigh Platform Bed with Footboard Storage,HB: 50H FB: 18H,552.0
1717K-1CK,1717-1,Albright Collection ,California King Bed,HB: 65H FB: 28H,484.0
2456S,2456-64,Decatur Collection ,Side Chair,19 x 25 x 39H,44.0
1714KBK-1CK,1714BK-1,Laurelin Collection ,California King Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 20.5H,519.0
1927-1*,1927-1,Sorrel Collection ,Queen Platform Bed,HB: 54H FB: 15.25H,395.0
1883KN-1CK,1883N-1,Wade Collection ,California King Wing Bed,HB: 48.5H FB: 14H,292.0
3587-30,3587-30,Lovington Collection ,Cocktail Table with Lift Top on Casters,48 x 26 x 20H,154.0
1866GY-4,1866GY-1,Marceline Collection ,Night Stand,29 x 17 x 29.25H,201.0
8511BK-3,8511BK,Talon Collection ,Sofa,86 x 36 x 39H,301.0
1867-4,1867,Florentina Collection ,Night Stand with Marble Top,30 x 18 x 32H,302.0
1912-6,1912-1,Chrysanthe Collection ,Mirror,46 x 1.5 x 39.75H,165.0
1866GY-1*,1866GY-1,Marceline Collection ,Queen Bed,HB: 64.25H FB: 33.75H,514.0
5789KN-1EK*,5789N-1,Baldwyn Collection ,Eastern King Sleigh Bed,HB: 47.25H FB: 13.75H,237.0
1916K-1EK*,1916-1,Allura Collection ,"Eastern King Bed, LED Lighting",HB: 59.75H FB: 26.25H,390.0
1916KBK-1EK*,1916BK-1,Allura Collection ,"Eastern King Bed, LED Lighting",HB: 59.75H FB: 26.25H,392.0
1904-1*,1904,Beechnut Collection ,Queen Bed,HB: 53.5H FB: 21.25H,151.0
1707K-1EK*,1707-1,Lavonia Collection ,Eastern King Bed,HB: 67.25H FB: 20.75H,387.0
1935PNK-1CK,1935PN-1,Bonaventure Park Collection ,California King Bed,HB: 73H FB: 19H,663.0
1717-11,1717-1,Albright Collection ,TV Chest,44 x 19 x 39H,307.0
2544S,2544-64,Teague Collection ,Side Chair,19 x 25 x 39H,44.0
1714KW-1EK*,1714W-1,Laurelin Collection ,Eastern King Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 20.5H,519.0
1704-5,1704-1,Moorewood Park Collection ,Dresser,69.5 x 20 x 42H,638.0
2147BK-9,2147TBK,Mayville Collection ,Chest,31.25 x 15.75 x 48.25H,147.0
1844KDC-1EK*,1844DC-1,Eunice Collection ,Eastern King Platform Bed with Footboard Storages,HB: 59.25H FB: 20H,534.0
1907KW-1CK,1907W-1,Terrace Collection ,California King Bed,HB: 61H FB: 31H,403.0
8230BLK-3,8230BLK-3,Bastrop Collection ,Double Reclining Sofa,87.5 x 38.5 x 39.5H,448.0
8480GRY-2LCN,8480GRY-2LCN,Pecos Collection ,Left Side Reclining Love Seat with Center Console,69 x 40.5 x 39H,416.0
1723-6,1723-1,Aristide Collection ,Mirror,46.25 x 1.25 x 39.75H,101.0
1915-6,1915-1,Anika Collection,Mirror,31.5 x 1 x 35.5H,51.0
1911-9,1911-1,Granbury Collection ,Chest,40 x 18 x 56.75H,396.0
2466S,2466-48,Dandelion Collection ,Side Chair,22.25 x 22.5 x 39H,81.0
1936K-1CK,1936-1,Vestavia Collection ,California King Bed,HB: 49H FB: 18.75H,214.0
5470-13,5470-72,Jemez Collection ,"49"" Bench",49 x 18 x 20H,80.0
1918-4,1918-1,Ashden Collection ,Night Stand,29 x 18 x 29.5H,196.0
2147KW-1EK*,2147W-1,Mayville Collection ,Eastern King Sleigh Bed,HB: 47.25H FB: 26.5H,210.0
1811KW-1EK*,1811W-1,Linnea Collection ,Eastern King Bed,HB: 48.25H FB: 11H,255.0
1810K-1EK*,1810-1,Bernal Heights Collection ,Eastern King Bed,HB: 52H FB: 27.5H,298.0
2159K-1EK*,2159-1,Cumberland Collection ,Eastern King Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 22H,633.0
5438-30,5438-30,Toulon Collection ,Cocktail Table,48 x 26 x 19.5H,148.0
1349K-1EK*,1349-1,Glamour Collection ,Eastern King Bed,HB: 54H FB: 27.5H,348.0
B2008TF-1*,B2008TF-1,Division Collection ,Twin/Full Loft Bed Upper Twin Bed:  81 x 43 x 65H Lower Full Bed:  81 x 58 x 32.5H ,Upper Twin Bed :81 x 43 x 65H Lower Full Bed : 81 x 58 x 32.5H,434.0
1733-4,1733-1,Verano Collection ,Night Stand,25 x 17.5 x 27H,108.0
2243-6,2243SL-1,Deryn Park Collection ,Mirror,49 x 4.5 x 49.25H,144.0
1834K-1CK,1834-1,Faust Collection ,California King Sleigh Platform Bed with Footboard Storage,HB: 56H FB: 20H,585.0
1828-5,1828-1,Chambord Collection ,Dresser,66 x 19 x 43H,546.0
2544-64,2544-64,Teague Collection ,Dining Table,38 x 64 x 30H,152.0
1869-4,1869-1,Mill Valley Collection,Night Stand with Hidden Drawer,26 x 15.75 x 28H,112.0
1916-6,1916-1,Allura Collection ,"Mirror, LED Lighting",47.25 x 1.5 x 38H,118.0
2025-1HB,2025-1HB,Potrero Collection ,Queen / FULL Headboard,HB: 48.5H ,65.0
2243-11,2243-1,Deryn Park Collection ,TV Chest,44 x 19 x 38.25H,375.0
1349-9,1349-1,Glamour Collection ,Chest,33 x 18 x 52H,236.0
1356BK-15,1356BK-1,Morelle Collection ,Writing Desk,46 x 24 x 30H,190.0
1277F2S,1277,Adlai Collection ,"Accent Chair, Right",27.5 x 31 x 38.5H,147.0
2124K-1CK,2124-1,Townsford Collection ,California King Bed,HB: 68H FB: 44H,456.0
8216SD-3,8216SD-3,Cornelia Collection ,Sofa,85.5 x 34.25 x 36.5H,307.0
2146-4,2146-1,Kari Collection ,Night Stand,22.25 x 16.5 x 23H,67.0
1799K-1CK,1799-1,Clementine Collection ,California King Bed,HB: 64H FB: 37H,456.0
1737KW-1CK,1737W-1,Lyric Collection ,California King Sleigh Platform Bed with Footboard Storage,HB: 50H FB: 18H,567.0
8079-30,8079-30,Santos Collection ,Cocktail Table,47.25 x 23.5 x 17.75H,99.0
1234-1,1234-1,Parlier Collection ," Accent Chair, Show Wood ",30.5 x 34.5 x 39.75H,331.0
1277F1S,1277,Adlai Collection ,"Accent Chair, Left",27.5 x 31 x 38.5H,147.0
2601-31,2601-31,Tempe Collection ," 3-Piece Occasional Tables with Faux Marble Top 
Cocktail Table:  48 x 24 x 16H 
End Table::  22 x 20 x 21H ",,102.0
8329CH-2,8329CH-3,Jarita Collection ,Double Reclining Love Seat,62 x 39.5 x 39.5H,287.0
8490FBR-LR,8490FBR-AC,Columbus Collection ,Left Side Reclining Chair,39 x 39 x 40H,234.0
1810-1*,1810-1,Bernal Heights Collection ,Queen Bed,HB: 52H FB: 27.5H,238.0
2456-13,2456-64,Decatur Collection ,"49"" Bench",49 x 18 x 20H,66.0
8245GY-3SL,8245GY-3,Kenner Collection ,Sofa with Sleeper,83 × 36 × 38H,520.0
5547-13,5547-78*,Mantello Collection,Bench,48 x16 x 19H,57.0
8230BLK-2,8230BLK-3,Bastrop Collection ,Double Glider Reclining Love Seat with Center Console,78.5 x 38.5 x 39.5H,428.0
8511BK-1,8511BK,Talon Collection ,Chair,45 x 36 x 39H,158.0
8200BRW-2,8200BRW-3,Mahala Collection ,Double Reclining Love Seat with Center Console,76.75 x 39 x 39.5H,675.0
9739-4,9739,Brooks Collection ,Ottoman,67 x 29.5 x 22.5H,216.0
8518-2,8518,Ramsey Collection ,Love Seat,56 x 33 x 32.5H,192.0
3587-04,3587-30,Lovington Collection ,End Table with Functional Drawer,24 x 22 x 24H,84.0
9734TP-3,9734TP-3,Rubin Collection ,Sofa,84.25 x 36 x 36.5H,319.0
2147BK-4,2147BK-1,Mayville Collection ,Night Stand,21.5 x 15.75 x 23.75H,63.0
8234TT-3,8234TT-3,Grande Isle Collection ,Sofa,83.5 x 33.75 x 38.75H,476.0
2220-4,2220-1,Lorenzi Collection ,Night Stand,21.25 x 16 x 22H,56.0
8380-1,8380-3,Clemencia Collection ,Chair,35 x 38 x 36.5H,239.0
1856-4,1856T-1,Abbeville Collection ,Night Stand with Hidden Drawer,21.25 x 15.75 x 24H,75.0
8380-2,8380-3,Clemencia Collection ,Love Seat,61 x 38 x 36.5H,361.0
9734DB-2,9734DB-3,Rubin Collection ,Love Seat,63 x 36 x 36.5H,252.0
5327S,5327-48,Helena Collection ,Side Chair,20.5 x 24 x 40.75H,50.0
5438-04,5438-30,Toulon Collection ,End Table,24 x 26 x 24.25H,114.0
9669FCP-AC,9669FCP,Hankins Collection ,Armless Chair,22 x 37 x 39H,120.0
8212-LR,8212-AC,Ynez Collection ,Left Side Reclining Chair,41 x 38.75 x 40H,233.0
2434-48,2434-48,Dover Collection ,Dining Table,29.5 x 47.25 x 29.5H,55.0
9669FCP-CR,9669FCP,Hankins Collection ,Corner Seat,62 x 37 x 39H,241.0
8200BRW-2PW,8200BRW-3PW,Mahala Collection ,Power Double Reclining Love Seat,76.75 × 39 × 39.5H,795.0
8380-3,8380-3,Clemencia Collection ,Sofa,84.5 x 38 x 36.5H,444.0
8223BK-1PW,8223BK-3PW,Nicasio Collection ,Power Reclining Chair,43 x 37 x 39.25H,434.0
5516-66,5516-66,Janina Collection ,Dining Table,38 x 66 x 29.75H,153.0
8318-ARPW,8318-AC,Laertes Collection ,Power Armless Reclining Chair,30.5 x 36.75 x 39.5H,312.0
8480RED-1,8480RED-3,Pecos Collection ,Glider Reclining Chair,42 x 40 x 39H,278.0
1386FPP-1*,1386TPP-1,Cinderella Collection ,Full Canopy Poster Bed,HB: 76H FB: 76H,394.0
B2053FFW-1*,B2053FFW-1,Galen Collection ,Full / Full Bunk Bed,77.75 x 57.5 x 65H,317.0
2021FW-1,2021TW-1,Pallina Collection ,Full Metal Platform Bed,HB: 35H FB: 23H,78.0
1711-1*,1711-1,Raku Collection ,Queen Platform Bed Footboard with Storage,HB: 58H FB: 18H,327.0
B2043SB-1*,B2043SB-1,Bartly Collection , Bunk Bed with Reversible Step Storage ,96.75 x 41.25 x 63.25H,453.0
9909BR-5,9909BR,Comfort Living Collection ," Reversible Chaise, Left/Right Unit ",84 x 34 x 36H,249.0
5162WW-24,5162WW-36*,Kiwi Collection,Counter Height Chair,18 X 20 X 40H,47.0
1856T-1*,1856T-1,Abbeville Collection ,Twin Sleigh Bed,HB: 50.25H FB: 30.5H,130.0
4501-F1,4501-F1,Tala Collection ,Lift Top Storage Cocktail Ottoman,36 x 26 x 19.5H,109.0
8555WHT-1,8555WHT-1,Alida Collection ,Swivel Chair,25 x 28.5 x 45H,119.0
1191F1S,1191F1S,Orson Collection ,Accent Chair,26 x 23 x 30H,73.0
B2013DC-T,B2013DC-1*,Rowe Collection,Storage Boxes,37.5 x 16.5 x 10.75H,44.0
8209BR-3SC,8209BR-3SC,Synnove Collection ,Reversible Sofa Chaise,82 x 58.5 x 36.5H,314.0
1191F6S,1191F6S,Orson Collection ,Accent Chair,26 x 23 x 30H,80.0
1977-5,1977T-1,Aviana Collection ,Dresser,62 x 17.75 x 38.25H,334.0
1255F1S,1255F1S,Alta Collection ," Accent Chair, Two-Tone ",21 x 25 x 34.5H,62.0
586-14,586-76,Ameillia Collection ,"60"" Bench",60 x 16 x 20H,96.0
B2013DC-R,B2013DC-1*,Rowe Collection,Twin Trundle,74.75 x 40.5 x 10.75H,65.0
1193F1S,1193F1S,Barlowe Collection ,Accent Chair,31.5 x 30.75 x 32.75H,156.0
8213-1,8213-1,Warrick Collection ,Push Back Reclining Chair,33 x 35 x 39H,159.0
1192BE,1192BE,Lucille Collection ,Accent Chair,31 x 30.5 x 31.5H,120.0
2046-4,2046-1,Garcia Collection ,Night Stand,23.75 x 16.5 x 25.5H,86.0
4967BK-NT,4967BK-NT,Octavia Collection , Metal Daybed with Trundle Daybed:  82 x 40.5 x 43.25H Trundle:  76.75 x 40.25 x 4.25 ,Daybed: 82 x 40.5 x 43.25H Trundle: 76.75 x 40.25 x 4.25H,171.0
B2053W-T,B2053FFW-1,Galen Collection ,Storage Boxes,37.5 x 16.5 x 10.75H,47.0
8208-3SC,8208-3SC,Sprague Collection ,Reversible Sofa Chaise,82 x 58.5 x 36.5H,314.0
2042-5,2042T-1,Woodrow Collection ,Dresser,54 x 16 x 36H,195.0
2952-04N,2952-30,Halston Collection ,End Table with Glass Top,26 Dia x 24H,66.0
3224N-04,3224N-30,Daria Collection ,End Table,23.75 x 21.75 x 24H,74.0
3270-24S1BK,3270-36,Archstone Collection,"Counter Height Chair, Black",19 x 23 x 39H,59.0
5566-24WT,5566-36*,Appert Collection,"Swivel Counter Height Chair, White",20.5 x 19 x 36.5H,48.0
1708-4,1708T-1,Odelia Collection ,Night Stand,24 x 17 x 27.5H,110.0
5400-30,5400-30,Schleiger Collection ,Cocktail Table,47.75 x 26 x 18H,108.0
9734TP-2,9734TP-3,Rubin Collection ,Love Seat,63 x 36 x 36.5H,252.0
8555BLK-1,8555BLK-1,Alida Collection ,Swivel Chair,25 x 28.5 x 45H,119.0
B2043FF-1*,B2043FF-1,Bartly Collection ,Full / Full Bunk Bed,77.75 x 57.5 x 65H,308.0
4501-F2,4501-F2,Tala Collection ,Lift Top Storage Cocktail Ottoman,36 x 26 x 19.5H,109.0
1212F1S,1212F1S,Langdale Collection ,Accent Chair,31.5 x 30.75 x 32.75H,153.0
2039W-9,2039TW-1,Lucida Collection ,Chest,32 x 17 x 48H,220.0
1949-1*,1949-1,Frederica Collection ,Queen Bed,HB: 59.25H FB: 30.5H,291.0
B2013DC-4,B2013PRDC-1,Rowe Collection ,Night Stand,23 x 17 x 21.75H,81.0
B2053W-9,B2053PRW-1,Galen Collection ,Chest,30 x 17 x 37.25H,152.0
2042T-1*,2042T-1,Woodrow Collection ,Twin Bed,HB: 48H FB: 16H,108.0
2145T-1*,2145-1,Edina Collection ,Twin Bed,HB: 52H FB: 14H,101.0
586-13,586,Ameillia Collection ,"48"" Bench",48 x 16 x 20H,86.0
3219-04,3219PU-01,Brussel Collection ,Round End Table,23 Dia x 22.5H,87.0
8250RN-3,8250RN,Corso Collection,Sofa,79.75 x 33 x 33H,311.0
8225NGY-3,8225NGY,Alain Collection,Sofa,87 x 35.5 x 37H,346.0
B2053W-9,B2053SBW-1,Galen Collection ,Chest,30 x 17 x 37.25H,152.0
1904TGY-1*,1904GY-1*,Beechnut Collection,Twin Bed,HB: 53.5 FB:21.25,118.0
2047TBK-1,2047FBK-1,Lia Collection ,Twin Metal Platform Bed,HB: 39.5H FB: 25.75H,58.0
1856TNG-1*,1856NG-1*,Abbeville Collection,Twin Bed,HB: 50.25H  FB: 30.5H,133.0
8327GY-1S,8327GY-1S,Deryn Collection ,Accent Chair,30 x 33.75 x 37H,180.0
1856NG-4,1856NG-1*,Abbeville Collection,"Night Stand, Hidden Drawer",21.25 x 15.75 x 24H,75.0
8327GY-1S,8327GY-1S,Deryn Collection ,Accent Chair,30 x 33.75 x 37H,180.0
1936-9,1936T-1,Vestavia Collection ,Chest,33.5 x 15.75 x 48H,159.0
1191F3S,1191F3S,Orson Collection ,Accent Chair,26 x 23 x 30H,79.0
8480GRY-2,8480GRY-3,Pecos Collection ,Double Reclining Love Seat,65 x 40 x 39H,420.0
5435-24,5435-36,Rochelle Collection ,Counter Height Chair,18.5 x 22.5 x 31.25H,64.0
MT-G12Q,MT-G12,"Mattress, 12-inch","12"" QUEEN 1""+2.5""+1.5""+7""",60 x 80 x 12H,326.0
1148RED,1148,Ride Collection ,Red Airlift Swivel Stool,17.5 x 20.5 x 37.5H,35.0
H11760,H11760,Noura Collection,Floor Lamp,16 x 10.5 x 58H,139.0
B2013DC-4,B2013SBDC-1,Rowe Collection ,Night Stand,23 x 17 x 21.75H,81.0
1753-6,1753-1*,Chesky Collection,Mirror,39.25 x 1 x 34.75H,53.0
1753-9,1753-1*,Chesky Collection,Chest,34.25 x 16.5 x 50.5H,210.0
5614-13,5614-72*,Wieland Collection,Bench,47 X 16.5 X 19H,46.0
B2013DC-4,B2013FFDC-1,Rowe Collection ,Night Stand,23 x 17 x 21.75H,81.0
8327DBR-2,8327DBR,Deryn Collection,Love Seat,67.25 x 36 x 35.5H,269.0
5163-48,5163-48*,University Collection,Dining Table,36 x 48 x 30H,95.0
5602-24BK,5602-36*,Amsonia Collection,"Swivel Counter Height Chair, Black",17.5 X 17.5 X 37.5H,58.0
1769-1*,1769-1*,Bracco Collection,Queen Platform Bed with Footboard Storage,HB: 52H  FB:18H,333.0
1855-1*,1855-1,Cullen Collection ,Queen Sleigh Bed,HB: 50H FB: 13.75H,156.0
2021TW-1,2021TW-1,Pallina Collection ,Twin Metal Platform Bed,HB: 35H FB: 23H,58.0
8327DBR-1,8327DBR,Deryn Collection,Chair,40.5 x 36 x 35.5H,164.0
815N-1,815N-1,Copley Collection,Queen/FULL Headboard,64 x 3.25 x 48.5H,85.0
2168WW-1*,2168WW-1,Orleans II Collection ,Queen Bed,HB: 71.75H FB: 45.5H,756.0
5566-36*,5566-36*,Appert Collection,"Counter Height Table, Glass Insert",36 x 69 x 36H,147.0
815KN-1,815N-1,Copley Collection,California King/ Eastern King Headboard,80.25 x 3.25 x 48.5H,112.0
B2043-R,B2043FF-1,Bartly Collection ,Twin Trundle,74.75 x 40.5 x 10.75H,63.0
1916GY-FBH,1916GY-1*,Allura Collection,Bench,54 x 18 x 19H,87.0
1714BK-1*,1714BK-1,Laurelin Collection ,Queen Sleigh Platform Bed with Footboard Storages,HB: 57H FB: 20.5H,428.0
815N-1,815TN-1, ,Queen/FULL Headboard,64 x 3.25 x 48.5H,85.0
4555BU,4555BU,Jaunt Collection,"Round Ottoman, Blue",36 Dia x 18H,122.0
5614-72,5614-72*,Wieland Collection,Dining Table,42 X 54-72 X 30H,167.0
5614S,5614-72*,Wieland Collection,Side Chair,19 X 21 X 38.5H,45.0
1707-4,1707-1,Lavonia Collection ,Night Stand,28.25 x 19 x 29.5H,162.0
4555NV,4555BU,Jaunt Collection,"Round Ottoman, Navy",36 Dia x 18H,122.0
1856-1*,1856-1,Abbeville Collection ,Queen Sleigh Bed,HB: 50.25H FB: 30.5H,161.0
1718GY-6,1718GY-1,Begonia Collection ,Mirror,42 x 1.5 x 36.5H,72.0
1928-5,1928-1,Celandine Collection ,Dresser,62.25 x 17 x 35.75H,308.0
1714BK-4,1714BK-1,Laurelin Collection ,Night Stand with Hidden Drawer,29 x 18 x 29.25H,122.0
5604-24,5604-36*,Brindle Collection,Counter Height Stool,21.5 X 16.5 X 24.5H,33.0
8412-2,8412-3,Fiorella Collection ,Love Seat,64 x 36.5 x 45H,773.0
1711-4,1711-1,Raku Collection ,Night Stand,27 x 16 x 27H,115.0
1916KGY-1CK*,1916GY-1*,Allura Collection,"California King bed, LED Lighting",HB: 59.5H  FB: 26.25H,390.0
4555GY,4555BU,Jaunt Collection,"Round Ottoman, Gray",36 Dia x 18H,122.0
1759-1,1759-1,Rapa Collection,Queen Canopy Platform Bed,HB:73.5H,115.0
1356BK-9,1356TBK-1,Morelle Collection ,Chest,32 x 19 x 48H,214.0
5602-24WT,5602-36*,Amsonia Collection,"Swivel Counter Height Chair, White",17.5 X 17.5 X 37.5H,58.0
8327DBR-3,8327DBR,Deryn Collection,Sofa,85.75 x 36 x 35.5H,313.0
1759-1,1759T-1,Rapa Collection,Queen Canopy Platform Bed,HB:73.5H,115.0
5599S,5599-71*,Glissand Collection,Side Chair,23.25 X 17 X 38.75H,37.0
5055-82,5055-82,Norwich Collection ,Dining Table,42 x 64 – 82 x 30H,317.0
2168WW-9,2168WW-1,Orleans II Collection ,Chest,42 x 19 x 55H,534.0
5626-70,5626-70*,Palladium Collection,Dining Table,40 X 70 X 30H,189.0
8260GY-ARPW,8260GY-PW Sectional,Falun Collection,POWER Armless Reclining Chair,31 x 39 x 39H,218.0
1915-9,1915-1,Anika Collection,Chest,31.5 x 15.75 x 43.5H,298.0
8260GY-RRPW,8260GY-PW Sectional,Falun Collection,POWER Right Side Reclining Chair,39 x 39 x 39H,267.0
8238-LC,8238-AC,Shreveport Collection ,"Left Side Chaise, Push Back Recliner",42 x 62.5 x 40H,307.0
5626S,5626-70*,Palladium Collection,Side Chair,19.25 X 22.5 X 35H,52.0
2168WW-5,2168WW-1,Orleans II Collection ,Dresser,67.75 x 19 x 39.75H,674.0
8260GY-AC,8260GY-PW Sectional,Falun Collection,Armless Chair,31 x 39 x 39H,130.0
5576S,5576RD*,Hamar Collection,Side Chair,19.75 x 22 x 34.25H,44.0
5576RD*,5576RD*,Hamar Collection,Round Dining Table,47.25 Dia x 29.5H,135.0
1386-9,1386T-1,Cinderella Collection,Chest,33 x 18 x 48H,269.0
2147TSG-1*,2147SG-1,Mayville Collection ,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,129.0
5428-30,5428-30,Anna Claire Collection ,Cocktail Table,50 x 26 x 17.25H,214.0
1908-4,1908-1,Summerlin Collection ,Night Stand,23 x 16.5 x 24.75H,80.0
4966BR*,4966BR,Tulney Collection , Daybed with Trundle Daybed:  83.75 x 44 x 41.25H Trundle:  75.75 x 40.25 x 11.75H ,Daybed: 83.75 x 44 x 41.25H Trundle: 75.75 x 40.25 x 11.75H,305.0
2168WW-6,2168WW-1,Orleans II Collection ,Mirror,47.25 x 3 x 42H,155.0
586S,586-82,Ameillia Collection ,Side Chair,20 x 23 x 40H,45.0
5163S,5163-48*,University Collection,Side Chair,18 x 22 x 38H,45.0
1834-4,1834-1,Faust Collection ,Night Stand,28 x 17 x 28H,128.0
1915-4,1915-1,Anika Collection,Night Stand,19 x 15.75 x 24H,70.0
3224N-05,3224N-30,Daria Collection ,Sofa Table / TV Stand,50 x 18 x 30H,173.0
8229-ARPW,8229-AC,Amite Collection ,Power Armless Reclining Chair,25.25 x 38.25 x 41H,226.0
2456S,2456-64WM*,Decatur Collection,Side Chair,19 x 25 x 39H,44.0
1904-9,1904,Beechnut Collection ,Chest,33 x 16.5 x 50.25H,168.0
1896FN-1*,1896N-1,Chasin Collection ,Full Platform Bed,HB: 44.25H FB: 11.25H,126.0
8260GY-CR,8260GY-PW Sectional,Falun Collection,Corner Seat,72 x 43 x 39H,233.0
1834-6,1834-1,Faust Collection ,Mirror,40 x 1.75 x 37H,76.0
1349-6,1349-1,Glamour Collection ,Mirror,39 x 2 x 33H,63.0
8260GY-CN,8260GY-PW Sectional,Falun Collection,Console,16 x 39 x 39H,73.0
4965W-NT,4965W-NT,Lorena Collection ," Metal Daybed with Trundle 
Daybed:  82.5 x 42 x 42H 
Trundle:  76.75 x 41 x 4.25H ",,129.0
292B-9,292B-1*,Narcine Collection,"Chest, Marble insert",40 x 18 x 54H,362.0
8260GY-LRPW,8260GY-PW Sectional,Falun Collection,POWER Left Side Reclining Chair,39 x 39 x 39H,267.0
3551-30,3551-30,Ridley Collection ,Cocktail Table with Marble Top,48 x 26 x 20H,174.0
4962DB-NT,4962DB-NT,Ruby Collection ,Metal Daybed with Trundle Daybed:  80.75 x 41.75 x 43.25H Trundle:  74 x 39 x 6H ,Daybed: 80.75 x 41.75 x 43.25H Trundle: 74 x 39 x 6H,237.0
1904-5,1904,Beechnut Collection ,Dresser,59 x 16.5 x 36.75H,203.0
3613-30,3613-30,Mehta Collection,Cocktail Table with Casters,48 x 26 x 18H,131.0
8233TT-3,8233TT-3,Thibodaux Collection ,Sofa,91.75 x 35.25 x 38.5H,479.0
3205-04,3205-30,Chorus Collection ,Round End Table with Glass Top,26 Dia x 22H,78.0
3224N-16,3224N-05,Daria Collection,"26"" W Bookcase",26 x 15 x 74H,180.0
8412-30,8412-30,Fiorella Collection , Cocktail Table with Marble Top ,52 x 30 x 20H,341.0
3526-30,3526-30,Mariacarla Collection , Cocktail Table with Marble Top ,54 x 34 x 20H,292.0
3256RF-04,3256RF-30,Ballwin Collection ,End Table with Functional Drawer,22 x 24 x 22H,79.0
2049F-1,2049F-1,Gavino Collection ,Full Metal Platform Bed,HB: 35.5H FB: 24.5H,98.0
3613-04,3613-30,Mehta Collection,End Table,23.5 x 23.5 x 23.75H,103.0
3526-04,3526-30,Mariacarla Collection , End Table with Marble Top ,28 x 28 x 24H,190.0
1936-6,1936T-1,Vestavia Collection ,Mirror,37.25 x 0.75 x 38.5H,37.0
8233TT-5,8233TT-3,Thibodaux Collection ,Chaise,34.25 x 58.25 x 33.5H,371.0
8233TT-2,8233TT-3,Thibodaux Collection ,Love Seat,69.25 x 35.25 x 38.5H,414.0
5415RF-04,5415RF-30,Sedley Collection,End Table with Functional Drawer,22 x 22 x 22H,136.0
B2043-R,B2043SB-1,Bartly Collection ,Twin Trundle,74.75 x 40.5 x 10.75H,63.0
2147SG-9,2147TSG,Mayville Collection ,Chest,31.25 x 15.75 x 48.25H,149.0
1799-9,1799-1,Clementine Collection ,Chest,40 x 19.25 x 58H,361.0
3401W-30*,3401W-30,Firth II Collection ,Cocktail Table with Glass Top,48 x 30 x 18H,131.0
5581-84*,5581-84*,Ibiza Collection,Dining Table,40 x 84 x 30H,361.0
8308-2PW*,8308-3PW,Olympia Collection ,Power Double Reclining Love Seat,64.5 x 36.5 x 39.5H,650.0
3205-30*,3205-30,Chorus Collection ,Cocktail Table with Glass Top,36 x 40 x 15H,106.0
1799-1*,1799-1,Clementine Collection ,Queen Bed,HB: 64H FB: 37H,378.0
3299-04,3299-01,Vincent Collection ,End Table with Glass Insert,26 x 26 x 24H,122.0
5882K-1CK,5882-1,Fugue Collection,California King bed,HB: 51H  FB: 16H,177.0
2220T-1*,2220T-1,Lorenzi Collection ,Twin Platform Bed,HB: 44.5H FB: 13.5H,105.0
1799-4,1799-1,Clementine Collection ,Night Stand,30 x 19 x 30.25H,168.0
8230BRW-2L,8230BRW-2L,Bastrop Collection ,Left Side Reclining Love Seat,65.5 x 38.5 x 39.5H,336.0
5415RF-30,5415RF-30,Sedley Collection,Cocktail Table with Two Functional Drawers,48 x 24 x 19H,254.0
8229-AC,8229 Sectional,Amite Collection,Armless Chair,25.25 x 38.25 x 41H,145.0
2145T-1*,2145T-1,Edina Collection ,Twin Bed,HB: 52H FB: 14H,101.0
5882-1,5882-1,Fugue Collection,Queen Bed,HB: 51H  FB: 16H,137.0
2147SG-12,2147TSG,Mayville Collection ," Lingerie Chest, Hidden Drawer ",21.5 x 15.75 x 56H,149.0
2145-6,2145-1,Edina Collection ,Mirror,37.5 x 1 x 37.5H,39.0
3257RF-30,3257RF-30,Carrier Collection ,Cocktail Table with Lift Top on Casters,50 x 28 x 20H,174.0
5608S,5608-76*,Springer Collection,Side Chair,21.5 X 19.5 X 36.5H,39.0
5882K-1EK,5882-1,Fugue Collection,Eastern King Bed,HB: 51H  FB: 16H,177.0
3590-05,3590-30,Frolic Collection,Sofa Table with Two Functional Drawers,48 x 16 x 32.25H,142.0
