Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
1356KBK-2EK,DS,,"(2/3) EK FTBD, BLACK FIN.",HMLG,80.06(Unit Price),0,,,VCST,20.32,3.1478,1,XB-103
1356KBK-3CK,DS,,"(3/3) CK RL & SL, BLACK FIN.",HMLG,36.00(Promotional Price),0,,,VCST,36.24,1.48,1,XB-103
1356KBK-3EK,DS,,"(3/3) EK RL & SL, BLACK FIN.",HMLG,49.06(Unit Price),0,,,VCST,33.81,1.4302,1,XB-103
1356KC-1CK,DS,,"(1/3) CK HDBD, CHERRY",HMLG,45.88(Promotional Price),1,,,VCST,44,5.77,1,XB-104
1356KC-2CK,DS,,(2/3) CK FTBD,HMLG,40.06(Promotional Price),1,,,VCST,19.36,3.004,1,XB-104
1356KC-3CK,DS,,(3/3) CK RL & SL,HMLG,29.06(Promotional Price),0,,,VCST,36.08,1.4771,1,XB-104
1356KW-1CK,DS,,"(1/3) CK HDBD, WHITE FIN.",HMLG,55.00(Promotional Price),0,,,VCST,44,5.7728,1,XB-104
1356KW-1EK,DS,,"(1/3) EK HDBD, WHITE FIN.",HMLG,55.00(Promotional Price),1,,,VCST,47.15,6.0646,1,XB-104
1356KW-2CK,DS,,"(2/3) CK FTBD, WHITE FIN.",HMLG,49.00(Promotional Price),1,,,VCST,19.36,3.004,1,XB-104
1356KW-2EK,DS,,"(2/3) EK FTBD, WHITE FIN.",HMLG,49.00(Promotional Price),0,,,VCST,20.36,3.1478,1,XB-104
1356KW-3CK,DS,,"(3/3) CK RL & SL, WHITE FIN.",HMLG,35.00(Promotional Price),0,,,VCST,36.08,1.4771,1,XB-104
1356KW-3EK,DS,,"(3/3) EK RL & SL, WHITE FIN.",HMLG,35.00(Promotional Price),0,,,VCST,33.87,1.4302,1,XB-104
